3166-2_code,Changwat_name,GADM_NAME_1,GADM_CC_1
TH-37,Amnat Charoen,Amnat Charoen,37
TH-15,Ang Thong,Ang Thong,15
TH-38,Bueng Kan,Bueng Kan,38
TH-31,Buri Ram,Buri Ram,31
TH-24,Chachoengsao,Chachoengsao,24
TH-18,Chai Nat,Chai Nat,18
TH-36,Chaiyaphum,Chaiyaphum,36
TH-22,Chanthaburi,Chanthaburi,22
TH-50,Chiang Mai,Chiang Mai,50
TH-57,Chiang Rai,Chiang Rai,57
TH-20,Chon Buri,Chon Buri,20
TH-86,Chumphon,Chumphon,86
TH-46,Kalasin,Kalasin,46
TH-62,Kamphaeng Phet,Kamphaeng Phet,62
TH-71,Kanchanaburi,Kanchanaburi,71
TH-40,Khon Kaen,Khon Kaen,40
TH-81,Krabi,Krabi,81
TH-10,Bangkok,Bangkok,10
TH-52,Lampang,Lampang,52
TH-51,Lamphun,Lamphun,51
TH-42,Loei,Loei,42
TH-16,Lop Buri,Lop Buri,16
TH-58,Mae Hong Son,Mae Hong Son,58
TH-44,Maha Sarakham,Maha Sarakham,44
TH-49,Mukdahan,Mukdahan,49
TH-26,Nakhon Nayok,Nakhon Nayok,26
TH-73,Nakhon Pathom,Nakhon Pathom,73
TH-48,Nakhon Phanom,Nakhon Phanom,48
TH-30,Nakhon Ratchasima,Nakhon Ratchasima,30
TH-60,Nakhon Sawan,Nakhon Sawan,60
TH-80,Nakhon Si Thammarat,Nakhon Si Thammarat,80
TH-55,Nan,Nan,55
TH-96,Narathiwat,Narathiwat,96
TH-39,Nong Bua Lam Phu,Nong Bua Lam Phu,39
TH-43,Nong Khai,Nong Khai,43
TH-12,Nonthaburi,Nonthaburi,12
TH-13,Pathum Thani,Pathum Thani,13
TH-94,Pattani,Pattani,94
TH-82,Phangnga,Phangnga,82
TH-93,Phatthalung,Phatthalung,93
TH-56,Phayao,Phayao,56
TH-67,Phetchabun,Phetchabun,67
TH-76,Phetchaburi,Phetchaburi,76
TH-66,Phichit,Phichit,66
TH-65,Phitsanulok,Phitsanulok,65
TH-14,Phra Nakhon Si Ayutthaya,Phra Nakhon Si Ayutthaya,14
TH-54,Phrae,Phrae,54
TH-83,Phuket,Phuket,83
TH-25,Prachin Buri,Prachin Buri,25
TH-77,Prachuap Khiri Khan,Prachuap Khiri Khan,77
TH-85,Ranong,Ranong,85
TH-70,Ratchaburi,Ratchaburi,70
TH-21,Rayong,Rayong,21
TH-45,Roi Et,Roi Et,45
TH-27,Sa Kaeo,Sa Kaeo,27
TH-47,Sakon Nakhon,Sakon Nakhon,47
TH-11,Samut Prakan,Samut Prakan,11
TH-74,Samut Sakhon,Samut Sakhon,74
TH-75,Samut Songkhram,Samut Songkhram,75
TH-19,Saraburi,Saraburi,19
TH-91,Satun,Satun,91
TH-33,Si Sa Ket,Si Sa Ket,33
TH-17,Sing Buri,Sing Buri,17
TH-90,Songkhla,Songkhla,90
TH-64,Sukhothai,Sukhothai,64
TH-72,Suphan Buri,Suphan Buri,72
TH-84,Surat Thani,Surat Thani,84
TH-32,Surin,Surin,32
TH-63,Tak,Tak,63
TH-92,Trang,Trang,92
TH-23,Trat,Trat,23
TH-34,Ubon Ratchathani,Ubon Ratchathani,34
TH-41,Udon Thani,Udon Thani,41
TH-61,Uthai Thani,Uthai Thani,61
TH-53,Uttaradit,Uttaradit,53
TH-95,Yala,Yala,95
TH-35,Yasothon,Yasothon,35
